PID,SID,ID,EID,ESID,NAME,NAME_SI,NAME_TA
11,1,36,1-1-03,03,Colombo,කොළඹ,கொழும்பு
11,2,37,1-1-06,06,Kolonnawa,කොළොන්නාව,கொலண்ணா‍வை
11,3,38,1-1-09,09,Kaduwela,කඩුවෙල,கடுவெலை/கடுவெ‍லை
11,4,39,1-1-12,12,Homagama,හෝමාගම,ஹோமாகம
11,5,40,1-1-15,15,Hanwella,හංවැල්ල,ஹங்வெல்‍லை
11,6,41,1-1-18,18,Padukka,පාදුක්ක,பாதுக்‍கை
11,7,42,1-1-21,21,Maharagama,මහරගම,மஹரகம
11,8,43,1-1-24,24,Sri Jayawardanapura Kotte,ශ්‍රී ජයවර්ධනපුර කෝට්ටේ,ஸ்ரீ ஜயவர்தணபுர ‍கோட்‍டை
11,9,44,1-1-27,27,Thimbirigasyaya,තිඹිරිගස්යාය,திம்பிரிகஸ்யா‍யை
11,10,45,1-1-30,30,Dehiwala-Mount Lavinia,දෙහිවල-ගල්කිස්ස,தெஹிவளை-கல்கிஸ்‍ஸ
11,11,46,1-1-31,31,Ratmalana,රත්මලාන,இரத்மழா‍ணை
11,12,47,1-1-33,33,Moratuwa,මොරටුව,மொரட்டு‍வை
11,13,48,1-1-36,36,Kesbewa,කැස්බෑව,கெஸ்‍‍பே‍வை
12,1,49,1-2-03,03,Negombo,මීගමුව,நீர்கொழும்பு
12,2,50,1-2-06,06,Katana,කටාන,கட்டான
12,3,51,1-2-09,09,Divulapitiya,දිවුලපිටිය,திவுலப்பிட்டிய
12,4,52,1-2-12,12,Mirigama,මීරිගම,மீரிகம
12,5,53,1-2-15,15,Minuwangoda,මිනුවන්ගොඩ,மினுவன்கொ‍ட
12,6,54,1-2-18,18,Wattala,වත්තල,வத்தளை
12,7,55,1-2-21,21,Ja-Ela,ජා-ඇල,ஜா-எல
12,8,56,1-2-24,24,Gampaha,ගම්පහ,கம்பஹா
12,9,57,1-2-27,27,Attanagalla,අත්තනගල්ල,அத்தணகல்‍லை
12,10,58,1-2-30,30,Dompe,දොම්පෙ,தொம்‍பே
12,11,59,1-2-33,33,Mahara,මහර,மஹற
12,12,60,1-2-36,36,Kelaniya,කැළණිය,களணி
12,13,61,1-2-39,39,Biyagama,බියගම,பியக‍ம
13,1,62,1-3-03,03,Panadura,පානදුර,பாணத்து‍றை
13,2,63,1-3-06,06,Bandaragama,බණ්ඩාරගම,பண்டாரக‍மை
13,3,64,1-3-09,09,Horana,හොරණ,ஹொரணை
13,4,65,1-3-10,10,Ingiriya,ඉංගිරිය,இங்கிரிய
13,5,66,1-3-12,12,Bulathsinhala,බුලත්සිංහල,புளத்சிங்கள
13,6,67,1-3-15,15,Madurawala,මදුරාවල,மதுராவெள
13,7,68,1-3-18,18,Millaniya,මිල්ලනිය,மில்லணிய
13,8,69,1-3-21,21,Kalutara,කළුතර,களுத்து‍றை
13,9,70,1-3-24,24,Beruwala,බේරුවල,பேருவ‍ளை
13,10,71,1-3-27,27,Dodangoda,දොඩම්ගොඩ,தொடங்கொட
13,11,72,1-3-30,30,Mathugama,මතුගම,மத்துக‍மை
13,12,73,1-3-33,33,Agalawatta,අගලවත්ත,அகலவத்‍தை
13,13,74,1-3-36,36,Palindanuwara,පාලින්ද නුවර,பாலிந்தநுவர
13,14,75,1-3-39,39,Walallavita,වලල්ලාවිට,வளள்ளாவிட்ட
