PID,SID,ID,EID,ESID,NAME,NAME_SI,NAME_TA,CXP_OLDCODE
36,1,368,1-1-03-005,005,Sammanthranapura,සම්මන්ත්‍රණපුර,சம்மந்திரணபுர,
36,2,369,1-1-03-010,010,Mattakkuliya,මට්ටක්කුලිය,மட்டக்குளி,C26
36,3,370,1-1-03-015,015,Modara,මෝදර,மோத‍ரை,C27
36,4,371,1-1-03-020,020,Madampitiya,මාදම්පිටිය,மாதம்பிட்டிய,C19
36,5,372,1-1-03-025,025,Mahawatta,මහවත්ත,மஹவத்தை,C20
36,6,373,1-1-03-030,030,Aluthmawatha,අළුත්මාවත,அளுத்மாவத்தை,C3
36,7,374,1-1-03-035,035,Lunupokuna,ලුණුපොකුණ,ளுணுபொக்குண,C18
36,8,375,1-1-03-040,040,Bloemendhal,බ්ලූමැන්ඩල්,புளூமெண்டல்,C4
36,9,376,1-1-03-045,045,Kotahena East,කොටහේන නැගෙනහිර,கொட்டாஞ்‍சேணை கிழக்கு,C16
36,10,377,1-1-03-050,050,Kotahena West,කොටහේන බටහිර,கொட்டாஞ்‍சேணை ‍மேற்கு,C17
36,11,378,1-1-03-055,055,Kochchikade North,කොච්චිකඩේ උතුර,கொச்சிகடை வடக்கு,C14
36,12,379,1-1-03-060,060,Jinthupitiya,ජින්තුපිටිය,ஜிந்துப்பிட்டி,C11
36,13,380,1-1-03-065,065,Massangar Street,මසංගස් වීදිය​,மசங்கஸ் வீதி,C25
36,14,381,1-1-03-070,070,New Bazaar,නිව් බසාර්,புதிய பசார்,C29
36,15,382,1-1-03-075,075,Grandpass South,ග්‍රෑන්ඩ්පාස් දකුණ,கி‍ரேண்ட்பாஸ் தெற்கு,C8
36,16,383,1-1-03-080,080,Grandpass North,ග්‍රෑන්ඩ්පාස් උතුර,கி‍ரேண்ட்பாஸ் வடக்கு,C7
36,17,384,1-1-03-085,085,Nawagampura,නවගම්පුර,நவகம்புர,C28
36,18,385,1-1-03-090,090,Maligawatta East,මාලිගාවත්ත නැගෙනහිර,மாளிகாவத்தை கிழக்கு,C22
36,19,386,1-1-03-095,095,Kettarama,ඛෙත්තාරාම,கெத்தாராமை,C13
36,20,387,1-1-03-100,100,Aluthkade East,අළුත්කඩේ නැගෙනහිර,புதுக்கடை கிழக்கு,C2
36,21,388,1-1-03-105,105,Aluthkade West,අළුත්කඩේ බටහිර,புதுக்கடை ‍மேற்கு,C2
36,22,389,1-1-03-110,110,Kochchikade South,කොච්චිකඩේ දකුණ,கொச்சிக்கடை தெற்கு,C15
36,23,390,1-1-03-115,115,Pettah,පිටකොටුව,புறக்‍கோட்டை,C31
36,24,391,1-1-03-120,120,Fort,කොටුව,கோட்டை,C5
36,25,392,1-1-03-125,125,Galle Face,ගාලුමුවදොර,காலி முகத்துவாரம,C6
36,26,393,1-1-03-130,130,Slave Island,කොම්පඤ්ඤ වීදිය,கொம்பணித்தெரு,C33
36,27,394,1-1-03-135,135,Hunupitiya,හුණුපිටිය,ஹுணுப்பிட்டிய,C9
36,28,395,1-1-03-140,140,Suduwella,සුදුවැල්ල,சுதுவெல்ல,C34
36,29,396,1-1-03-145,145,Keselwatta,කෙසෙල්වත්ත,வாழைத்‍தோட்டம் (கெசெல்வத்த),C12
36,30,397,1-1-03-150,150,Panchikawatta,පංචිකාවත්ත,பஞ்சிக்காவத்தை,C30
36,31,398,1-1-03-155,155,Maligawatta West,මාලිගාවත්ත බටහිර,மாளிகாவத்தை ‍மேற்கு,C23
36,32,399,1-1-03-160,160,Maligakanda,මාලිගාකන්ද,மாளிகாகந்தை,C21
36,33,400,1-1-03-165,165,Maradana,මරදාන,மரதானை,C24
36,34,401,1-1-03-170,170,Ibbanwala,ඉබ්බන්වල,இப்பங்வெலை,C10
36,35,402,1-1-03-175,175,Wekanda,වෑකන්ද,வேகந்த,C35
37,1,403,1-1-06-005,005,Wadulla,වදුල්ල,வதுல்ல,509D
