PID,SID,ID,EID,ESID,NAME,NAME_SI,NAME_TA,CXP_OLDCODE
62,1,2102,1-3-03-005,005,Horethuduwa North,හොරේතුඩුව උතුර,ஹொரேதுடுவ வடக்கு,670B
62,2,2103,1-3-03-010,010,Horethuduwa,හොරේතුඩුව,ஹொரேதுடுவ,670
62,3,2104,1-3-03-015,015,Horethuduwa Central,හොරේතුඩුව මැද,மத்திய ஹொரேதுடுவ,670C
62,4,2105,1-3-03-020,020,Horethuduwa South,හොරේතුඩුව දකුණ,ஹொரதுடுவ தெற்கு,670A
62,5,2106,1-3-03-025,025,Gorakana,ගොරකාන,கொரகாண,671
62,6,2107,1-3-03-030,030,Gorakana South,ගොරකානදකුණ,கொரகாண தெற்கு,671A
62,7,2108,1-3-03-035,035,Paratta West,පරත්ත බටහිර,பரத்த மேற்கு,672D
62,8,2109,1-3-03-040,040,Paratta,පරත්ත,பரத்த,672A
62,9,2110,1-3-03-045,045,Diggala,දිග්ගල,திக்கல,672B
62,10,2111,1-3-03-050,050,Keselwatta,කෙසෙල්වත්ත,கெசெல்வத்த,672
62,11,2112,1-3-03-055,055,Sarikkamulla,සරික්කාමුල්ල,சரீக்காமுல்ல,673
62,12,2113,1-3-03-060,060,Henamulla,හේනමුල්ල,ஹேணமுல்ல,673A
62,13,2114,1-3-03-065,065,Wattalpola,වත්තල්පොල,வத்தல்பொல,674A
62,14,2115,1-3-03-070,070,Miriyawatta,මීරියවත්ත,மீரியவத்த,672C
62,15,2116,1-3-03-075,075,Thotawatta,තොටවත්ත,தொட்டவத்த,675
62,16,2117,1-3-03-080,080,Werawatta,වේරවත්ත,வேரவத்த,674B
62,17,2118,1-3-03-085,085,Pallimulla,පල්ලිමුල්ල,பல்லிமுல்ல,673B
62,18,2119,1-3-03-090,090,Gorakapola,ගොරකාපොල,கொரகாபொல,674
62,19,2120,1-3-03-095,095,Walana North,වලාන උතුර,வலாண வடக்கு,679A
62,20,2121,1-3-03-100,100,Ambalanduwa,අම්බලන්දූව,அம்பலந்தூவ,675A
62,21,2122,1-3-03-105,105,Galthude North,ගල්තුඩේ උතුර,கல்துடே வடக்கு,677A
62,22,2123,1-3-03-110,110,Galthude,ගල්තුඩේ,கல்துடே,677
62,23,2124,1-3-03-115,115,Hirana West,හිරණ බටහිර,ஹிரண மேற்கு,676A
62,24,2125,1-3-03-120,120,Hirana,හිරණ,ஹிரண,676
62,25,2126,1-3-03-125,125,Thanthirimulla East,තන්තිරිමුල්ල නැගෙනහිර,தந்திரிமுல்ல கிழக்கு,681A
62,26,2127,1-3-03-130,130,Thanthirimulla,තන්තිරිමුල්ල,தந்திரிமுல்ல,681
62,27,2128,1-3-03-135,135,Bekkegama,බෙක්කේගම,பெக்கெகம,680
62,28,2129,1-3-03-140,140,Walana South,වලාන දකුණ,வலாண தெற்கு,679B
62,29,2130,1-3-03-145,145,Walana,වලාන,வலாண,679
62,30,2131,1-3-03-150,150,Udahamulla,උඩහමුල්ල,உடகமுல்ல,682
62,31,2132,1-3-03-155,155,Punchideniya,පුංචිදෙණිය,புஞ்சிதெணிய,682C
62,32,2133,1-3-03-160,160,Malamulla West,මාලමුල්ල බටහිර,மாலமுல்ல மேற்கு,684A
62,33,2134,1-3-03-165,165,Kiriberiya,කිරිබෙරිය,கிரிபெரிய,684B
62,34,2135,1-3-03-170,170,Malamulla,මාලමුල්ල,மாலமுல்ல,684
62,35,2136,1-3-03-175,175,Kuruppumulla,කුරුප්පුමුල්ල,குருப்புமுல்ல,682A
62,36,2137,1-3-03-180,180,Atambagoda,ඇටඹගොඩ,எடம்பகொட,682B
62,37,2138,1-3-03-185,185,Pattiya North,උතුරු පට්ටිය,பட்டிய வடக்கு,685
62,38,2139,1-3-03-190,190,Bazaar North,කඩවීදිය උතුර,பசார் வடக்கு,685A
62,39,2140,1-3-03-195,195,Sagara Place,සාගර පෙදෙස,சாகர பிளேஸ்,685D
62,40,2141,1-3-03-200,200,Bazaar West,කඩවීදිය බටහිර,பசார் மேற்கு,685C
62,41,2142,1-3-03-205,205,Bazaar,කඩවීදිය,பசார்,685B
62,42,2143,1-3-03-210,210,Walapala Pattiya,වලපල පට්ටිය,வலபால பட்டிய,683A
62,43,2144,1-3-03-215,215,Walapala,වලපල,வலபால,683
62,44,2145,1-3-03-220,220,Eluwila,එළුවිල,ஒலுவில,687B
62,45,2146,1-3-03-225,225,Wekada East,වැකඩ නැගෙනහිර,வேகட கிழக்கு,687A
62,46,2147,1-3-03-230,230,Wekada North,වැකඩ උතුර,வேகட வடக்கு,687C
62,47,2148,1-3-03-235,235,Wekada West,වැකඩ බටහිර,வேகட மேற்கு,687
62,48,2149,1-3-03-240,240,Pattiya,පට්ටිය,பட்டிய,686B
62,49,2150,1-3-03-245,245,Uyankele,උයන්කැලේ,உயண்கெலே,686A
62,50,2151,1-3-03-250,250,Pattiya South,දකුණු පට්ටිය,பட்டிய தெற்கு,686
62,51,2152,1-3-03-255,255,Kaludewala,කළුදෑවල,களுதேவால,689
62,52,2153,1-3-03-260,260,Kaludewala East,කළුදෑවලනැගෙනහිර,களுதேவால கிழக்கு,689B
62,53,2154,1-3-03-265,265,Morawinna,මොරවින්න,மோரவிண்ண,689A
62,54,2155,1-3-03-270,270,Nalluruwa North,නල්ලුරුව උතුර,நல்லூருவ வடக்கு,692A
62,55,2156,1-3-03-275,275,Nalluruwa,නල්ලුරුව,நல்லோருவ,692
62,56,2157,1-3-03-280,280,Dibbedda,දිබ්බැද්ද,திப்பெத்த,693
62,57,2158,1-3-03-285,285,Dibbedda North,දිබ්බැද්ද උතුර,திப்பெத்த வடக்கு,693A
62,58,2159,1-3-03-290,290,Narampitiya,නාරම්පිටිය,நாரம்பிட்டிய,696A
62,59,2160,1-3-03-295,295,Pinwatta,පින්වත්ත,பிங்வத்த,696
62,60,2161,1-3-03-300,300,Pinwatta West,පින්වත්තබටහිර,பின்வத்த மேற்கு,696B
62,61,2162,1-3-03-305,305,Thalpitiya North,උතුරු තල්පිටිය,தல்பிடிய வடக்கு,697
62,62,2163,1-3-03-310,310,Thalpitiya South,දකුණු තල්පිටිය,தல்பிட்டிய தெற்கு,697A
62,63,2164,1-3-03-315,315,Pallimankada,පල්ලිමංකඩ,பல்லிமங்கட,697B
62,64,2165,1-3-03-320,320,Wadduwa West,වාද්දුව බටහිර,வாத்துவமேற்கு,699
62,65,2166,1-3-03-325,325,Wadduwa East,වාද්දුව නැගෙනහිර,வாத்துவ கிழக்கு,698
62,66,2167,1-3-03-330,330,Maha Wadduwa,මහ වාද්දුව,மஹ வாத்துவ,698A
62,67,2168,1-3-03-335,335,Pattieliya,පට්ටිඑළිය,பட்டிஎலிய,702A
62,68,2169,1-3-03-340,340,Kuda Wadduwa,කුඩා වාද්දුව,குடா வாத்துவ,702
62,69,2170,1-3-03-345,345,Wadduwa South,වාද්දුව දකුණ,வாத்துவ தெற்கு,699A
62,70,2171,1-3-03-350,350,Molligoda,මොල්ලිගොඩ,மொல்லிகொட,704
62,71,2172,1-3-03-355,355,Molligoda North,මොල්ලිගොඩඋතුර,மொல்லிகொட வடக்கு,704A
62,72,2173,1-3-03-360,360,Molligoda South,මොල්ලිගොඩ දකුණ,மொல்லிகொட தெற்கு,704B
63,1,2174,1-3-06-005,005,Kidelpitiya West,කිදෙල්පිටිය බටහිර,கிதெல்பிட்டிய மேற்கு,669
63,2,2175,1-3-06-010,010,Kidelpitiya East,කිදෙල්පිටිය නැගෙනහිර,கிதெல்பிட்டிய கிழக்கு,669A
63,3,2176,1-3-06-015,015,Senapura,සේනපුර,சேணபுர,669C
63,4,2177,1-3-06-020,020,Newdawa,නිව්ඩාව,நிவ்டாவ,678B
63,5,2178,1-3-06-025,025,Aluthgama,අලුත්ගම,அளுத்கம,668
63,6,2179,1-3-06-030,030,Elothiyawa,ඇලෝතියාව,எலொதியாவ,668B
63,7,2180,1-3-06-035,035,Walgama North,වල්ගම දකුණ,வல்கம வடக்கு,667B
63,8,2181,1-3-06-040,040,Rerukana,රේරුකාන,ரேருக்கண,667A
63,9,2182,1-3-06-045,045,Samaranayakapura,සමරනායකපුර,சமரநாயக்கபுர,667C
63,10,2183,1-3-06-050,050,Kothalawala,කොතලාවල,கொத்தலாவல,661A
63,11,2184,1-3-06-055,055,Veedagama East,වීදාගම නැගෙනහිර,வீதகம கிழக்கு,664
63,12,2185,1-3-06-060,060,Walgama South,වල්ගම දකුණ,வல்கம தெற்கு,667D
63,13,2186,1-3-06-065,065,Gammanpila,ගම්මන්පිල,கம்மண்பில,667
63,14,2187,1-3-06-070,070,Medagama,මැදගම,மெதகம,668A
63,15,2188,1-3-06-075,075,Alubomulla East,අළුබෝමුල්ල නැගෙනහිර,அளுபோமுல்ல கிழக்கு,691
